JournalCode|JournalLib|EcritureNum|EcritureDate|CompteNum|CompteLib|CompAuxNum|CompAuxLib|PieceRef|PieceDate|EcritureLib|Debit|Credit|EcritureLet|DateLet|ValidDate|Montantdevise|Idevise
VEN|Journal des ventes|000001|20230102|411000|Clients|CLI0001|NetServices SA|V2023-0001|20230102|Facture V2023-0001 NetServices SA|12772.07||||20230102|12772.07|EUR
VEN|Journal des ventes|000001|20230102|706000|Prestations de services|||V2023-0001|20230102|Prestation V2023-0001||10643.39|||20230102|10643.39|EUR
VEN|Journal des ventes|000001|20230102|445710|TVA collectée|||V2023-0001|20230102|TVA facture V2023-0001||2128.68|||20230102|2128.68|EUR
VEN|Journal des ventes|000002|20230104|411000|Clients|CLI0002|Innovatech SA|V2023-0002|20230104|Facture V2023-0002 Innovatech SA|11723.12||||20230104|11723.12|EUR
VEN|Journal des ventes|000002|20230104|706000|Prestations de services|||V2023-0002|20230104|Prestation V2023-0002||9769.27|||20230104|9769.27|EUR
VEN|Journal des ventes|000002|20230104|445710|TVA collectée|||V2023-0002|20230104|TVA facture V2023-0002||1953.85|||20230104|1953.85|EUR
VEN|Journal des ventes|000003|20230106|411000|Clients|CLI0003|Digital Corp|V2023-0003|20230106|Facture V2023-0003 Digital Corp|7108.61||||20230106|7108.61|EUR
VEN|Journal des ventes|000003|20230106|706000|Prestations de services|||V2023-0003|20230106|Prestation V2023-0003||5923.84|||20230106|5923.84|EUR
VEN|Journal des ventes|000003|20230106|445710|TVA collectée|||V2023-0003|20230106|TVA facture V2023-0003||1184.77|||20230106|1184.77|EUR
VEN|Journal des ventes|000004|20230109|411000|Clients|CLI0004|NetServices SA|V2023-0004|20230109|Facture V2023-0004 NetServices SA|4977.34||||20230109|4977.34|EUR
VEN|Journal des ventes|000004|20230109|706000|Prestations de services|||V2023-0004|20230109|Prestation V2023-0004||4147.78|||20230109|4147.78|EUR
VEN|Journal des ventes|000004|20230109|445710|TVA collectée|||V2023-0004|20230109|TVA facture V2023-0004||829.56|||20230109|829.56|EUR
VEN|Journal des ventes|000005|20230111|411000|Clients|CLI0005|DataSystems SAS|V2023-0005|20230111|Facture V2023-0005 DataSystems SAS|4581.12||||20230111|4581.12|EUR
VEN|Journal des ventes|000005|20230111|706000|Prestations de services|||V2023-0005|20230111|Prestation V2023-0005||3817.60|||20230111|3817.60|EUR
VEN|Journal des ventes|000005|20230111|445710|TVA collectée|||V2023-0005|20230111|TVA facture V2023-0005||763.52|||20230111|763.52|EUR
VEN|Journal des ventes|000006|20230113|411000|Clients|CLI0006|SystemPro SARL|V2023-0006|20230113|Facture V2023-0006 SystemPro SARL|5242.19||||20230113|5242.19|EUR
VEN|Journal des ventes|000006|20230113|706000|Prestations de services|||V2023-0006|20230113|Prestation V2023-0006||4368.49|||20230113|4368.49|EUR
VEN|Journal des ventes|000006|20230113|445710|TVA collectée|||V2023-0006|20230113|TVA facture V2023-0006||873.70|||20230113|873.70|EUR
VEN|Journal des ventes|000007|20230116|411000|Clients|CLI0007|InfoTech Partners|V2023-0007|20230116|Facture V2023-0007 InfoTech Partners|8386.90||||20230116|8386.90|EUR
VEN|Journal des ventes|000007|20230116|706000|Prestations de services|||V2023-0007|20230116|Prestation V2023-0007||6989.08|||20230116|6989.08|EUR
